Company,Ask for,Phone,What this call is,Notes
"Absolute Clean & Restoration Inc","Scott & Stacy Ross (Owners)","(618) 402-8225","Email Friday times — HE ASKED (due 2026-08-14)","[2026-08-11] has a system said his system has been booking fake appointments and shit in his system. doesnt like it at all. wants me to send him an email with a few times to book an appt for friday. absolutecleanpres@gmail.com"
"CLEAN Restoration","Jeff Butler (Owner)","(217) 440-1292","Text Melanie 217-640-1523 the website link — SHE ASKED (due 2026-08-19)","[2026-08-17] called back. current issues with their AI is. people problem - not passing to the correct person. water damage or fire damage spoke to manager said she would pass along my message to owner. said that they were in contact with another company to switch, however Melanie (manager) said she doesnt know if they got everything they wanted from that company text 2176401523. text that number the website link. said they dont want to switch rn. said they would call if they do."
"Brilliant Cleaning and Restoration","Justin (Owner)","(620) 210-0424","Call Justin back, he initiated once already (due 2026-08-19)","[2026-08-17] guy called me back. said he was eating lunch will give me a call back in a little bit. no answer 8/17"
"Midwest Restoration Pros LLC","Donald Sears (Owner)","(314) 221-9640","Call Michelle Thursday morning (due 2026-08-20)","[2026-08-17] Next monday. Michelle, Don. thursday, morning. call michelle."
"Lakeshore Restoration LLC","Regal","(920) 221-1440","SEND THE INFO — he asked for it 9 days ago and it was never sent (due 2026-08-20)","[2026-08-11] office@lakeshorerestorationllc.co Regal. said to send info over. just asked for info."
"Arkansas Restoration","","(501) 753-3600","Call Monday after 8am (due 2026-08-24)","[2026-08-17] Monday after - 8,"
"13:12 Restoration","Matt (Owner/partner)","(479) 977-1312","2nd call — Call Matt. Budget objection → lead with Lead Reactivation: no new spend, works money he already paid for. Also find out what happened with Shad","[2026-08-05] Matt is owner or business partner. Called. 947 Am Aug 5. Said money is too tight rn. demo with Shad at 8 tn"
"Burlington Restoration Solutions","Brandon (PM)","(319) 671-6640","2nd call — Call Brandon — did the 7:30 Zoom happen? Angle is the AI covering the shifts he can't hire for","[2026-08-08] SCHEDULED ZOOM LINK AT 730! PM said his main issue is not having enough employees. noone wants to work anymore. also talked to him about phone calls. Brandon"
"MRC Restoration of Southeast Missouri","Mark Curfman (Founder)","(573) 200-7272","2nd call — Cold call → demo #","2026-08-10 spoke to owner"
"Flood Out Restoration","""Wes"" (Owner)","(903) 235-2969","2nd call — Follow up: did the owner call the demo #? Best live thread in the pipeline","[2026-08-17] spoke to manager, Tyler, asked for the demo number, said if he liked it hell give me a call back about it. said hes gonna have the owner call the demo number and see if he likes it."
"Grethey Rose Construction & Restoration","Victor Grethey (spoke to him)","(309) 648-5540","2nd call — Email John at jon@gretheyrose.com, then call (309) 648-5540","[2026-08-17] John Rose. 3096485540 this is the IT business partner Victor is who i spoke to John Rose. 3096485540 this is the IT business partner Victor is who i spoke to. send jon@gretheyrose.com"
"Chief Restoration Services","Christy & Matthew Brown","(417) 337-3770","After 6pm — Cold call → demo #","[2026-08-08] 8-4 on the week Matt"
"Certified Water & Mold Restoration","Mike Martin (Owner)","(816) 835-4959","After 6pm — Cold call, ask for Mike by name","2026-08-08 gatekeeper"
"A & D Fire/Water Restoration LLC","","(573) 979-0958","After 6pm — Verify phone first","[2026-08-05] Call went to voicemail."
"All-Clean USA","Brett Overman (Owner)","(870) 972-1922","After 6pm — Verify phone first","[2026-08-05] Got to receptionist. Left message"
"Frontier Restoration","Doug Day & Greg Marsden (Owners)","(913) 800-4980","After 6pm — Cold call, ask for Doug or Greg by name","[2026-08-10] Jamie is manager"
"Emergency Mitigation Services","Fred Dohogne (Owner & GM)","(913) 773-6777","After 6pm — Cold call, ask for Fred by name","2026-08-10 gatekeeper"
"First Response Restoration","David Shoemaker (Owner)","(913) 839-2051","After 6pm — Cold call → demo #","[2026-08-10] David is the manager"
"FloodSERV, Inc.","Damon & Kristi Thompson (Owners)","(918) 429-1911","After 6pm — Cold call → demo #","[2026-08-10] Usually in the morning Damon"
"Environmental Resources, Inc.","David & Sherri Henson (Owners)","(618) 471-9119","After 6pm — Cold call → demo #","[2026-08-10] asked for a call back"
"Pride Cleaning & Restoration","Jim Seubert (Owner)","(314) 668-1223","After 6pm — Cold call, ask for Jim by name","[2026-08-11] Jim Seubert. left message with receptionist"
"Red Carpet Flood Restoration of NE Kansas","Keaton","(785) 766-0439","After 6pm — Cold call (probe live-answer on 24/7 line)","[2026-08-11] asked for a call back left message with receptionist"
"Neville & Sons","Kevin & Tony Neville (Owners)","(573) 442-8280","After 6pm — Verify 24/7 emergency line fit, then call","[2026-08-11] Kevin, Tony. First week of September"
"Menold Construction & Restoration","Brian (Manager)","(309) 263-8728","After 6pm — Verify which company this actually is before dialing again","[2026-08-17] Brian is the manager. this is bluesky restoration contractors."
"Healthy Homes LLC","Caleb Wilson (Owner)","(309) 418-9511","After 6pm — Call in the morning, ask for Caleb","[2026-08-17] Danielle is the receptionist Caleb, Ganon mornings Danielle is the receptionist Caleb, Ganon mornings. left message for caleb the owner."
"Peerless Cleaning & Restoration","Brad Wike (Owner)","(217) 423-7704","After 6pm — Cold call, ask for Brad by name","2026-08-17 gatekeeper; 2026-08-24 enriched, owner confirmed as Brad Wike via company's own About page (purchased Peerless from his parents in 2004) — no email found on site or contact form, do not guess"
"J.J. Swartz Co","Brad Swartz (President)","(217) 877-2611","After 6pm — Call after 6pm — the receptionist has blocked this twice","[2026-08-17] got a receptionist"
"All Clean Restoration Services Inc","Mike Nagy (President/Owner)","(618) 235-3202","After 6pm — Call after 9am, ask for Mike by name","[2026-08-17] Got to receptionist. Mike. got to receptionist delores. usually anytime after 9am. Mike."
"Tri Cat Restoration","Jeff Glass (Owner) UNVERIFIED","(417) 200-2018","After 6pm — Call back, ask Marlena for the owner by name","[2026-08-17] spoke to marlena office manager."
"4-D Home Solutions","Anthony Decker (Owner)","(417) 531-0635","After 6pm — Call Anthony, open with ""I called at 10 and didn't get an answer""","[2026-08-17] Anthony. Called at 953. He didn’t answer. Didn’t leave a voicemail. Call back and say I called at 10 am and didn’t get an answer. 8/17 - no answer"
"Madison Property Restoration","Randy Schmidt (President)","(608) 467-3360","After 6pm — Call after 6pm, ask for Randy by name","[2026-08-17] spoke to gatekeeper again"
"K-tech Kleening","Craig (Owner) — confirmed on the call","(800) 215-8324","After 6pm — Call around 8am, ask for Craig","[2026-08-17] Craig is owner, clarence is retired. call around 8 am"
"American Patriot Restoration","Curt (Owner)","(217) 342-3206","Retry, different time of day than last","2026-08-05 no answer"
"Vortex Restoration","Matt & Natalie Inbody","(316) 541-4362","Retry, different time of day than last","[2026-08-05] No answer."
"Fast Restoration","Terry (Owner)","(636) 681-3200","Retry, different time of day than last","[2026-08-05] No answer"
"Burggraf Disaster","","(918) 584-3737","Retry, different time of day than last","2026-08-08 no answer"
"Atlas Restoration Specialists","Brian Mullins (President)","(314) 822-0090","Retry, different time of day than last","2026-08-08 no answer"
"Ben Davis Restoration","Shad Friend (Founder)","(417) 860-9767","Retry, different time of day than last","[2026-08-05] No answer. Called at 1030."
"Brown's Floor Care & Restoration","","(319) 337-7721","Retry, different time of day than last","2026-08-08 no answer"
"Allied Restoration Service","","(712) 204-0868","Retry, different time of day than last","[2026-08-05] no answer"
"Chavez Restoration & Cleaning","Dan & Amanda Chavez","(785) 232-3779","Retry, different time of day than last","2026-08-08 no answer"
"Bales Cleaning & Restoration","Larry Martin (Owner)","(636) 498-1000","Retry, different time of day than last","2026-08-08 no answer"
"Cleaning Restoration Services","Family-run","(918) 710-0609","Retry, different time of day than last","2026-08-09 no answer"
"Clean Green Restoration","Miles & Tarah McNeill","(417) 300-5062","Retry, different time of day than last","2026-08-09 no answer"
"Dalton Brothers Restoration","Mike Dalton (Owner)","(816) 616-7667","Retry, different time of day than last","2026-08-09 no answer"
"Clinton Water Damage Pro","","(563) 503-6066","Retry, different time of day than last","2026-08-09 no answer"
"DryHero Water & Mold","Ritch Paprocki (Founder)","(402) 438-2379","Retry, different time of day than last","2026-08-09 no answer"
"Dri Right","Clayton Hutson (Owner)","(580) 574-2383","Retry, different time of day than last","2026-08-09 no answer"
"Disaster Masters, LLC","Jake Yancey (Owner)","(501) 441-4087","Retry, different time of day than last","2026-08-09 no answer"
"Kwik Dry LLC","Family-run","(417) 725-6978","Retry, different time of day than last","2026-08-10 no answer"
"Home Pro Services","","(319) 382-0217","Retry, different time of day than last","2026-08-10 no answer"
"Illinois Home Solutions","","(309) 300-2112","Retry, different time of day than last","2026-08-10 no answer"
"Extremely Clean","","(402) 932-3257","Retry, different time of day than last","2026-08-10 no answer"
"MCC Cleaning & Restoration","Jessica Vieu (Owner)","(314) 443-5044","Retry, different time of day than last","2026-08-10 no answer"
"Smoke Services Restoration","Metro East","(618) 234-9696","Retry, different time of day than last","2026-08-11 no answer"
"Restoration Connection Inc","John Fowler (Owner)","(618) 925-0085","Retry, different time of day than last","2026-08-11 no answer"
"Advanced Restorations","","(417) 962-8844","Retry, different time of day than last","2026-08-11 no answer"
"Werner Restoration Services Inc","","(563) 322-0535","Retry, different time of day than last","2026-08-11 no answer"
"Mustang Disaster CleanUp","","(515) 620-3772","Retry, different time of day than last","2026-08-11 no answer"
"Red River Water Restoration","Andrew Jones & Les Moore (co-founders)","(405) 565-9833","Retry, different time of day than last","[2026-08-11] spoke to answering service"
"Brownies Carpet & Upholstery Cleaning & Water Restoration","Tom & Lisa Brown (Owners)","(920) 788-6852","Retry, different time of day than last","2026-08-11 no answer"
"Vital Restoration","Timothy Brown (Owner)","(217) 679-0254","Retry, different time of day than last","2026-08-17 no answer"
"Tri County Cleaning Systems","Rob Fountain (Owner)","(309) 266-5755","Retry, different time of day than last","2026-08-17 no answer"
"Restore & More","Mike (Owner)","(913) 247-4379","Retry, different time of day than last","[2026-08-17] called around 1130 monday"
